Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
mixerOpen,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mixerSetControlDetails,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
MkParseDisplayName,Yes,Yes,Yes,OLE,ole32.dll,objbase.h,,,Yes,function
mmioAdvance,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioAscend,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioClose,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioCreateChunk,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioDescend,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioFlush,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioGetInfo,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioInstallIOProc,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,WinNT,function
mmioOpen,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,WinNT,function
mmioRead,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioRename,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,WinNT,function
mmioSeek,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioSendMessage,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioSetBuffer,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioSetInfo,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmioStringToFOURCC,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,WinNT,function
mmioWrite,Yes,Yes,Yes,mm,winmm.lib,mmsystem.h,,,No,function
mmsystemGetVersion,No,No,Yes,mm,winmm.lib,mmsystem.h,,,No,function
ModifyMenu,Yes,Yes,Yes,USER,user32.lib,winuser.h,,,WinNT,function
ModifyWorldTransform,Yes,No,No,GDI/Transforms,gdi32.lib,wingdi.h,,,No,function
MonikerCommonPrefixWith,Yes,Yes,Yes,OLE,ole32.dll,objbase.h,,,Yes,function
MonikerRelativePathTo,Yes,Yes,Yes,OLE,ole32.dll,objbase.h,,,Yes,function
mouse_event,Yes,Yes,No,USER,user32.lib,winuser.h,,,WinNT,function
MoveFile,Yes,Yes,Yes,Kernel,kernel32.lib,winbase.h,,,WinNT,function
MoveFileEx,Yes,Yes,No,Kernel,kernel32.lib,winbase.h,"""Windows 95: MOVEFILE_DELAY_UNTIL_REBOOT not supported.""",,WinNT,function
MoveMemory,Yes,Yes,Yes,macro,,winbase.h,,,No,function
MoveToEx,Yes,Yes,Yes,GDI/Drawing,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",,No,function
MoveWindow,Yes,Yes,Yes,USER,user32.lib,winuser.h,,,No,function
MsgWaitForMultipleObjects,Yes,Yes,No,USER,user32.lib,winuser.h,,,No,function
MsgWaitForMultipleObjectsEx,Yes,No,No,USER,user32.lib,winuser.h,,New for Windows NT 4.0,No,function
MulDiv,Yes,Yes,Yes,Kernel/Time,kernel32.lib,winbase.h,,,No,function
MultiByteToWideChar,Yes,Yes,Yes,Kernel/NLS,kernel32.lib,winnls.h,,,No,function
MultinetGetConnectionPerformance,Yes,No,No,Network/LM,netapi32.lib,winnetwk.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NDdeGetErrorString,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeGetShareSecurity,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeGetTrustedShare,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeIsValidAppTopicList,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeIsValidShareName,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeSetShareSecurity,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeSetTrustedShare,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeShareAdd,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeShareDel,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeShareEnum,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeShareGetInfo,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeShareSetInfo,Yes,No,No,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDdeTrustedShareEnum,Yes,No,Yes,Network DDE,nddeapi.lib,nddeapi.h,,,WinNT,function
NDRCContextBinding,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,,WinNT,function
NDRCContextMarshall,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,,WinNT,function
NDRCContextUnmarshall,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,,WinNT,function
NDRcopy,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,,WinNT,function
NDRSContextMarshall,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,,WinNT,function
NDRSContextUnmarshall,Yes,No,No,RPC,rpcrt4.lib,rpcndr.h,,,WinNT,function
NetAccessAdd,Yes,Yes,No,,netapi32.lib,lmaccess.h,,,WinNT,function
NetAccessCheck,Yes,Yes,No,,netapi32.lib,svrapi.h,,,WinNT,function
NetAccessDel,Yes,Yes,No,,netapi32.lib,lmaccess.h,,,WinNT,function
NetAccessEnum,Yes,Yes,No,,netapi32.lib,lmaccess.h,,,WinNT,function
NetAccessGetInfo,Yes,Yes,No,,netapi32.lib,lmaccess.h,,,WinNT,function
NetAccessGetUserPerms,Yes,Yes,No,,netapi32.lib,lmaccess.h,,,WinNT,function
NetAccessSetInfo,Yes,Yes,No,,netapi32.lib,lmaccess.h,,,WinNT,function
NetAlertRaise,Yes,No,No,Network/LM,netapi32.lib,lmalert.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetAlertRaiseEx,Yes,No,No,Network/LM,netapi32.lib,lmalert.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetApiBufferAllocate,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetApiBufferFree,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetApiBufferReallocate,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetApiBufferSize,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetApipBufferAllocate,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetAuditClear,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetAuditRead,Yes,No,No,Network/LM,netapi32.lib,lmapibuf.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetAuditWrite,Yes,No,No,Network/LM,netapi32.lib,lmaudit.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
Netbios,Yes,Yes,No,Networking,netapi32.lib,nb30.h,,,No,function
NetConfigGet,Yes,No,No,Network/LM,netapi32.lib,lmconfig.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetConfigGetAll,Yes,No,No,Network/LM,netapi32.lib,lmconfig.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetConfigSet,Yes,No,No,Network/LM,netapi32.lib,lmconfig.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetConnectionEnum,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetErrorLogClear,Yes,No,No,Network/LM,netapi32.lib,lmerrlog.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetErrorLogRead,Yes,No,No,Network/LM,netapi32.lib,lmerrlog.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetErrorLogWrite,Yes,No,No,Network/LM,netapi32.lib,lmerrlog.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetFileClose,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetFileEnum,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetFileGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGetAnyDCName,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGetDCName,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGetDisplayInformationIndex,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupAdd,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupAddUser,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupDel,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupDelUser,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupEnum,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupGetUsers,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetGroupSetUsers,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetHandleGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmchdev.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetHandleSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmchdev.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupAdd,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupAddMember,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupAddMembers,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupDel,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupDelMember,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupDelMembers,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupEnum,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupGetMembers,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetLocalGroupSetMembers,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetMessageBufferSend,Yes,No,No,Network/LM,netapi32.lib,lmmsg.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetMessageNameAdd,Yes,No,No,Network/LM,netapi32.lib,lmmsg.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetMessageNameDel,Yes,No,No,Network/LM,netapi32.lib,lmmsg.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetMessageNameEnum,Yes,No,No,Network/LM,netapi32.lib,lmmsg.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetMessageNameGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmmsg.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetQueryDisplayInformation,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetRemoteComputerSupports,Yes,No,No,Network/LM,netapi32.lib,lmremutl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetRemoteTOD,Yes,No,No,Network/LM,netapi32.lib,lmremutl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirAdd,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirDel,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirEnum,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirLock,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplExportDirUnlock,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplImportDirAdd,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplImportDirDel,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplImportDirEnum,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplImportDirGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplImportDirLock,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplImportDirUnlock,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetReplSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmrepl.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetScheduleJobAdd,Yes,No,No,Network/LM,netapi32.lib,lmat.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetScheduleJobDel,Yes,No,No,Network/LM,netapi32.lib,lmat.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetScheduleJobEnum,Yes,No,No,Network/LM,netapi32.lib,lmat.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetScheduleJobGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmat.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerDiskEnum,Yes,No,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerEnum,Yes,No,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerGetInfo,Yes,Yes,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerSetInfo,Yes,Yes,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerTransportAdd,Yes,No,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerTransportDel,Yes,No,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServerTransportEnum,Yes,No,No,Network/LM,netapi32.lib,lmserver.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServiceControl,Yes,No,No,Network/LM,netapi32.lib,lmsvc.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServiceEnum,Yes,No,No,Network/LM,netapi32.lib,lmsvc.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServiceGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmsvc.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetServiceInstall,Yes,No,No,Network/LM,netapi32.lib,lmsvc.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetSessionDel,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetSessionEnum,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetSessionGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareAdd,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareCheck,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareDel,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareDelSticky,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareEnum,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareEnumSticky,Yes,No,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareGetInfo,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetShareSetInfo,Yes,Yes,No,Network/LM,netapi32.lib,lmshare.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetStatisticsGet,Yes,No,No,Network/LM,netapi32.lib,lmstats.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetStatisticsGet2,Yes,No,No,Network/LM,netapi32.lib,lmstats.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUseAdd,Yes,No,No,Network/LM,netapi32.lib,lmuse.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUseDel,Yes,No,No,Network/LM,netapi32.lib,lmuse.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUseEnum,Yes,No,No,Network/LM,netapi32.lib,lmuse.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUseGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmuse.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserAdd,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserChangePassword,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserDel,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserEnum,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserGetGroups,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserGetLocalGroups,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserModalsGet,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserModalsSet,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserSetGroups,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetUserSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmaccess.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaTransportAdd,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaTransportDel,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaTransportEnum,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaUserEnum,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaUserGetInfo,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NetWkstaUserSetInfo,Yes,No,No,Network/LM,netapi32.lib,lmwksta.h,"""All LanMan APIs are UNICODE only""",,WinNT,function
NotifyBootConfigStatus,Yes,No,No,adv services,advapi32.lib,winsvc.h,,New for Windows NT 3.5,No,function
NotifyChangeEventLog,Yes,No,Yes,adv services,advapi32.lib,winbase.h,,New for Windows NT 3.5,No,function
NSPGetServiceClassInfo,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,Yes,function
NSPInstallServiceClass,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,Yes,function
NSPLookupServiceBegin,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,No,function
NSPLookupServiceEnd,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,Yes,function
NSPLookupServiceNext,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,Yes,function
NSPRemoveServiceClass,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,No,function
NSPSetService,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,Yes,function
NSPStartup,Yes,Yes,No,sockets,,ws2spi.h,,New for Windows Sockets 2,Yes,function
ntohl,Yes,Yes,No,sockets,ws2_32.lib,winsock2.h,,,No,function
ntohs,Yes,Yes,No,sockets,ws2_32.lib,winsock2.h,,,No,function
OaBuildVersion,Yes,Yes,Yes,OLE/Automation,oleaut32.lib,oleauto.h,,,No,function
ObjectCloseAuditAlarm,Yes,No,No,adv services,advapi32.lib,winbase.h,,,WinNT,function
ObjectDeleteAuditAlarm,Yes,No,No,adv services,advapi32.lib,winbase.h,,New for Windows NT 4.0,WinNT,function
ObjectOpenAuditAlarm,Yes,No,No,adv services,advapi32.lib,winbase.h,,,WinNT,function
ObjectPrivilegeAuditAlarm,Yes,No,No,adv services,advapi32.lib,winbase.h,,,WinNT,function
OemKeyScan,Yes,Yes,Yes,USER,user32.lib,winuser.h,,,No,function
OemToAnsi,Yes,Yes,Yes,macro,,winuser.h,,Obsolete,No,function
OemToAnsiBuff,Yes,Yes,Yes,macro,,winuser.h,,Obsolete,No,function
OemToChar,Yes,Yes,Yes,USER,user32.lib,winuser.h,,,WinNT,function
OemToCharBuff,Yes,Yes,Yes,USER,user32.lib,winuser.h,,,WinNT,function
OffsetClipRgn,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",,No,function
OffsetRect,Yes,Yes,Yes,USER,user32.lib,winuser.h,,,No,function
OffsetRgn,Yes,Yes,Yes,GDI/Region,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",,No,function
OffsetViewportOrgEx,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",,No,function
OffsetWindowOrgEx,Yes,Yes,Yes,GDI/DC info,gdi32.lib,wingdi.h,"""Windows 95: 16-bit coordinates only""",,No,function
OleBuildVersion,Yes,Yes,Yes,OLE/Linking and Embedding,ole32.lib,ole2.h,,,No,function
OleConvertIStorageToOLESTREAM,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleConvertIStorageToOLESTREAMEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleConvertOLESTREAMToIStorage,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleConvertOLESTREAMToIStorageEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreate,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateDefaultHandler,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateEmbeddingHelper,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,New for Windows NT 4.0,Yes,function
OleCreateFontIndirect,Yes,Yes,Yes,OLE,olepro32.dll,olectl.h,,,Yes,function
OleCreateFromData,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateFromDataEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,New for Windows NT 4.0,Yes,function
OleCreateFromFile,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateFromFileEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,New for Windows NT 4.0,Yes,function
OleCreateLink,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateLinkEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,New for Windows NT 4.0,Yes,function
OleCreateLinkFromData,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateLinkFromDataEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,New for Windows NT 4.0,Yes,function
OleCreateLinkToFile,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreateLinkToFileEx,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,New for Windows NT 4.0,Yes,function
OleCreateMenuDescriptor,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleCreatePictureIndirect,Yes,Yes,Yes,OLE,olepro32.dll,olectl.h,,,Yes,function
OleCreatePropertyFrame,Yes,Yes,Yes,OLE,olepro32.dll,olectl.h,,,Yes,function
OleCreatePropertyFrameIndirect,Yes,Yes,Yes,OLE,olepro32.dll,olectl.h,,,Yes,function
OleCreateStaticFromData,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
OleDestroyMenuDescriptor,Yes,Yes,Yes,OLE,ole32.dll,ole2.h,,,Yes,function
